37,18,0.27000,0.22000,672,405,0.0516454,0.1391843
37,18,0.28000,0.26000,615,438,0.0514856,0.1167013
37,18,0.28000,0.23000,650,429,0.0514612,0.1126414
37,18,0.28000,0.24000,647,395,0.0515010,0.1110908
37,20,0.28000,0.20000,657,405,0.0515266,0.1849794
37,19,0.28000,0.20000,691,384,0.0514298,0.1978802
38,18,0.28000,0.25000,692,374,0.0514866,0.2704236
38,18,0.28000,0.27000,697,359,0.0513094,0.3136582
37,20,0.29000,0.20000,697,412,0.0514354,0.1925283
38,20,0.29000,0.19000,679,398,0.0514722,0.1323639
37,21,0.28000,0.15000,616,459,0.0514656,0.0388538
35,19,0.28000,0.14000,588,441,0.0514138,0.0303261
35,18,0.29000,0.17000,592,446,0.0514304,0.0236316
36,18,0.29000,0.15000,582,443,0.0515066,0.0294466
36,20,0.30000,0.13000,598,442,0.0514096,0.0380788
36,20,0.29000,0.12000,682,435,0.0515008,0.0540192
36,19,0.29000,0.16000,611,449,0.0514612,0.0413500
35,20,0.29000,0.13000,632,429,0.0514296,0.0489375
35,30,0.32000,0.0813,582,460,0.0515390,0.0383535
32,30,0.31000,0.0157,698,420,0.0525850,0.3024456
32,30,0.31000,0.0124,669,424,0.0516776,0.1751512
33,30,0.31000,0.0344,696,425,0.0517226,0.1475614
33,30,0.31000,0.0245,630,428,0.0517095,0.0915499
36,30,0.32000,0.1000,697,422,0.0525160,0.2836323
36,31,0.33000,0.0170,632,423,0.0514740,0.1234128
34,32,0.33000,0.0182,698,423,0.0521572,0.1909539
34,32,0.33000,0.0097,691,420,0.0516376,0.1541020
36,31,0.33000,0.0170,646,420,0.0514828,0.1266896
34,32,0.33000,0.0182,639,425,0.0515890,0.1272390
34,32,0.33000,0.0097,563,449,0.0510589,0.1001882
35,20,0.27564,0.1148,647,359,0.0512386,0.1569023
35,22,0.28156,0.07194,646,408,0.0516826,0.0994837
33,23,0.2822,0.0464,660,342,0.0513902,0.1314745
34,18,0.27506,0.1706,636,420,0.0516212,0.0937017
36,18,0.27412,0.21196,636,414,0.0514396,0.0942295
42,14,0.27332,0.03651,697,374,0.0514304,0.1445646
41,16,0.27632,0.03347,690,300,0.0512504,0.2182478
41,16,0.27812,0.34886,647,332,0.0511742,0.1541795
38,19,0.28076,0.13493,667,316,0.0513896,0.2191756
39,18,0.27848,0.19955,585,421,0.0514852,0.0666623
35,20,0.27556,0.11489,591,377,0.0513362,0.0760624
35,22,0.28162,0.07174,590,423,0.0513894,0.0711241
33,23,0.28218,0.04643,595,353,0.051363,0.0759159
34,18,0.27518,0.17119,615,417,0.051408,0.0676923
